ucid,capability,domain,use_case,definition,requirement,user_story,kpi,status
41,Termination Management,Termination,Related Termination Risk Entity Mapping,"Identifies entities related to one slated for termination, maps and scores them,","1. Automatically identify all entities related to the entity being terminated — parents, affiliates, shared","Risk analyst: I want the related entity map before I terminate, so I remove a",Regrettable loss rate; False positive rate Termination,On inventory
42,Termination Management,Termination,Offboarding Compliance Task Automation,"Identifies, tracks and where possible submits every compliance task attached to",1. Automatically identify all compliance tasks associated with an offboarding event.,"Compliance: I want every offboarding task executed and evidenced, not",Analyst hours per case Termination,On inventory
43,Termination Management,Termination,Notice Generation,"Produces the termination notice, adverse action letter or regulatory notification","1. Produce the termination notice, adverse action letter or regulatory notification required for the ground and","Compliance: I want every offboarding task executed and evidenced, not",Analyst hours per case; Time to approve Termination,On inventory
45,Credit Risk Management,Credit,Credit Exposure Limit Setting,Calculates settlement and chargeback exposure to set a credit limit and reserve.,1. Calculate settlement exposure from funding delay and volume profile.,"Credit: I want exposure set from settlement and chargeback reality, not",Regrettable loss rate; Customer satisfaction Credit & Reserve,On inventory
46,Merchant Review,Post-Boarding,Watchlist Management,"Heightened, time-boxed monitoring with extra checks and a defined exit.","1. Place merchants under heightened, time-boxed monitoring with extra checks.",Compliance analyst: I want watchlists maintained and screened against,Regrettable loss rate; False positive rate Monitoring & Risk Surfacing,On inventory
47,Risk Surfacing,Post-Boarding,Exception Request Handling,Routes limit and policy exceptions for manager approval with full context.,1. Accept limit and policy exception requests from analysts and relationship teams.,"Risk manager: I want exceptions to arrive with the context needed to decide,",Time to approve; Analyst hours per case; Monitoring & Risk Surfacing,On inventory
48,Reserve Management,Credit,Reserve Type Configuration & Assignment,"Determines the structure — rolling, one-time static, hybrid or dynamic — from","1. Determine acceptable structures — rolling, one-time static, hybrid or dynamic.","Merchant, at boarding: I want to know why there is a reserve, how much, and",Regrettable loss rate; Customer satisfaction; Credit & Reserve,On inventory
49,Reserve Management,Credit,Reserve Balance & Release Management,"Tracks live balances and executes scheduled, triggered or dynamically",1. Track live reserve balances per merchant in real time.,"Finance: I want reserve balances and funding status rolled up at merchant,",Customer satisfaction; Regrettable loss rate Credit & Reserve,On inventory
50,Reserve Management,Credit,Reserve Reporting & Aggregation,"Rolls up balances and funding schedule status at merchant, related-entity and",1. Roll up reserve balances at merchant level.,"Finance: I want reserve balances and funding status rolled up at merchant,",Analyst hours per case Credit & Reserve,On inventory
52,Credit Risk Management,Credit,Onboarding Credit Risk Assessment,"Credit risk at point of application, used to set reserve and funding terms —",1. Calculate credit risk at point of application from available financial and business data.,"Credit: I want exposure set from settlement and chargeback reality, not",Regrettable loss rate; Auto-approval rate; Credit & Reserve,On inventory
53,Credit Risk Management,Credit,Credit Memo Generation,"Synthesises financial and risk data into a structured credit memo, refreshed on a",1. Synthesise financial and risk data into a structured credit memo.,Credit: I want the credit memo to refresh itself when new financials or signals,Analyst hours per case; Time to approve Credit & Reserve,On inventory
54,Credit Risk Management,Credit,Continuous Credit Worthiness Scoring,"Ingests negative news, market signals and updated financials to recalculate the",1. Ingest negative news and adverse media continuously.,Credit: I want the credit memo to refresh itself when new financials or signals,Regrettable loss rate; False positive rate Credit & Reserve,On inventory
55,Credit Risk Management,Credit,Financial Evidence Collection & Review,"Statements, processing history, bank data, bank credit memos and investor",1. Maintain the accepted evidence library and what each item proves.,"Thin-file merchant: I want my funding and investor evidence to count, so",Time to approve; First contact resolution; Credit & Reserve,New — proposed
56,Reserve Management,Credit,Reserve Option Presentation & Election,Presents the acceptable structures with the total cost and cash-flow shape of,1. Present only the structures risk has deemed acceptable for that merchant.,"Merchant, at boarding: I want to know why there is a reserve, how much, and",Customer satisfaction; First contact resolution Credit & Reserve,New — proposed
57,Reserve Management,Credit,Proactive Loosening & Release,Identifies merchants outperforming their boarded terms and recommends,"1. Maintain loosening criteria: what performance, over what period, justifies what release.","Performing merchant: I want my reserve reduced because I have earned it,",Customer satisfaction; Regrettable loss rate Credit & Reserve,New — proposed
316,Reserve Management,Credit,Dynamic Reserve Recalculation,"Recalculates the reserve requirement continuously as exposure, performance","1. Recalculate the reserve requirement on a continuous basis from live exposure, processing performance,","Merchant: I want my reserve to follow how I actually trade, so good",Regrettable loss rate; Customer satisfaction; Credit & Reserve,New — proposed
58,Merchant Review,Post-Boarding,Automated Request for Information,"Asks the merchant for a specific item with the reason, chases it, and hands","1. Trigger a request from a rule, a signal or an analyst action.",Monitoring analyst: I want to pull what can be pulled and ask only for what,First contact resolution; Analyst hours per Credit & Reserve,New — proposed
60,Termination Management,Termination,Exit Classification & Disposition,"Classifies the exit as good, neutral or adverse and sets the disposition: welcome","1. Classify every exit as good, neutral or adverse from criteria held in the knowledge base.",Good merchant leaving: I want to know my file stays intact and coming back,Regrettable loss rate; Customer satisfaction Termination,New — proposed
61,Termination Management,Termination,Merchant-Initiated Offboarding Experience,A voluntary exit handled with the same rigour and a far better experience —,1. Accept a merchant-initiated exit request through the portal.,"Merchant leaving voluntarily: I want the exit itself to work — final settlement,",Customer satisfaction; First contact resolution Termination,New — proposed
62,Termination Management,Termination,"Funds, Reserve & Final Settlement on Exit","Calculates the chargeback tail, decides the reserve disposition, and sequences","1. Calculate the chargeback and refund tail by vertical, ticket size and history.","Merchant leaving voluntarily: I want the exit itself to work — final settlement,",Customer satisfaction; Regrettable loss rate Termination,New — proposed
63,Termination Management,Termination,Negative File & Cross-Portfolio Prevention,"The terminated file and identifier set, matched at intake and shared with","1. Maintain the terminated file with the full identifier set: entities, principals, beneficial owners, bank accounts,",Fraud & risk leadership: I want a merchant we removed for cause to find no,Regrettable loss rate; False positive rate Termination,New — proposed
64,Termination Management,Termination,Termination Outcome Feedback,"Turns every exit into a labelled outcome that updates classification, thresholds,",1. Capture every termination as a labelled outcome against the original onboarding prediction.,"Model owner: I want every termination as a labelled outcome, because it is",False positive rate; Regrettable loss rate Termination,New — proposed
65,Termination Management,Termination,Win-Back & Re-entry Monitoring,Watches good leavers for re-entry signals and prompts the relationship owner,1. Maintain the population of good leavers eligible for re-approach.,Relationship owner: I want to know a good customer left and be prompted to,Customer satisfaction Termination,New — proposed
66,Risk Surfacing,Post-Boarding,Peer Group Benchmarking,"Scores each merchant against comparable merchants, not a fixed threshold.","1. Define peer groups by vertical, segment, business model, region, size band, channel mix and seasonality.",Risk analyst: I want alerts that are relative to comparable merchants. A fixed,False positive rate; Regrettable loss rate Monitoring & Risk Surfacing,New — proposed
67,Merchant Review,Post-Boarding,Unified Request Orchestration,Merges scheduled and event-driven requests into one consolidated ask.,1. Merge the scheduled review pack with open event-driven requests.,"Merchant: I want one request, once a year, with everything in it — not five",Customer satisfaction; First contact resolution; Monitoring & Risk Surfacing,New — proposed
68,Risk Surfacing,Post-Boarding,Automated Data Acquisition,"Retrieves public financials, filings and registry data so we never ask for it.",1. Maintain the register of what is retrievable and from where.,Merchant: I do not want to be asked for my public financials. They are public.,Customer satisfaction; Analyst hours per case; Monitoring & Risk Surfacing,New — proposed
69,Merchant Review,Post-Boarding,Intermediary Portfolio Monitoring,"Extends monitoring to ISOs, payfacs and their sub-merchants.",1. Perform cadenced scans of external data on intermediaries and their sub-customers.,Intermediary owner: I want my sub-merchant book monitored on the same,"Regrettable loss rate; False positive rate Monitoring & Risk Surfacing,",New — proposed
70,Boarding Merchant Analysis,Intake,Preliminary Risk Assessment,A directional answer for sales before a full application exists.,1. Accept manual and automated triggers for a preliminary risk screen.,"Sales representative: I want to know whether this prospect is likely to board,",Time to approve; Analyst hours per case; Onboarding,New — proposed
71,Boarding Merchant Analysis,Intake,Negative-Onboarding Triage,Flags likely-fraud applicants at the door using breadcrumbs and shared,1. Screen every applicant against fraud breadcrumbs and shared identifiers at intake.,"Fraud analyst: When we spot a likely fraud, I want the application to keep",Regrettable loss rate; False positive rate Onboarding,New — proposed
72,Boarding Merchant Analysis,Intake,Silent Collection & Analyst Flagging,"Keeps a suspected application running to harvest identifiers, and flags to an","1. Continue the application with no change in tone, timing or requirements.","Fraud analyst: When we spot a likely fraud, I want the application to keep",Regrettable loss rate; False positive rate Onboarding,New — proposed
73,Platform Platform,Services,Agent & Skill Marketplace,Catalogue and manual execution of every agent and skill.,"1. Maintain one catalogue of every agent and skill with owner, version, purpose and status.",Risk operations lead: I want one catalogue of every agent and skill with cost,Analyst hours per case Platform,New — proposed
74,Platform Platform,Services,Agent & Skill Authoring,"Risk experts create skills and assemble agents, with an approval gate.",1. Allow a risk expert to create a skill from a description and examples.,"Risk expert: I want to build and test a detection skill myself, so improving",False positive rate; Analyst hours per case Platform,New — proposed
75,Platform Platform,Services,Experimentation & A/B Testing,"Champion-challenger, shadow mode and holdouts.",1. Run a challenger alongside the champion on the same traffic.,Model owner: I want to run a challenger against the champion on the same,False positive rate; Regrettable loss rate Platform,New — proposed
76,Platform Platform,Services,AI Cost Management,"Budgets, caps, throttling and defined behaviour at the limit.","1. Set budgets by team, use case, agent and user, with hard and soft caps.","Finance partner: I want budgets, caps and defined behaviour at the limit for",Platform,New — proposed
77,Platform Platform,Services,Third-Party API Orchestration,"One governed path to external data, metered and cached.",1. Provide a single governed path for skills and agents to reach external data.,Platform owner: I want one governed path to external data with caching and,Platform,New — proposed
78,Platform Platform,Services,Self-Service Reporting & Dashboards,Users build and share their own views without a query.,"1. Allow filtering, grouping, pivoting and charting without writing a query.","Risk analyst: I want to build and share my own view without raising a request,",Analyst hours per case Platform,New — proposed
79,Platform Platform,Services,Scheduled Reporting & Distribution,"Any report on a cadence, to the right list.",1. Schedule any report or dashboard on a defined cadence.,"Regional head: I want my pack delivered on a cadence in the format I need, so",Analyst hours per case Platform,New — proposed
80,Platform Platform,Services,"Access, Entitlements & Delegated Admin","Roles, scoping, delegated admin and spend authority.","1. Define entitlements per function, not per screen.","Access administrator: I want entitlements per function, scoped by line of",Platform,New — proposed
81,Platform Platform,Services,Multi-Language Portal & Comms,"Portal, packs, notices and assistant in their language.","1. Serve portal, requirement packs, notices, emails and the assistant in the merchant’s language.","Merchant abroad: I want the portal, notices and assistant in my own",Customer satisfaction; First contact resolution Platform,New — proposed
82,Platform Platform,Services,Multi-Language Document Handling,Review natively in the source language; generate in the required one.,1. Extract and compare documents natively in the source language.,Document reviewer: I want to review a document in its source language and,Analyst hours per case; Time to approve Platform,New — proposed
83,Platform Platform,Services,Notification & Task Inbox,"One place work arrives, across every flow and channel.",1. Provide one inbox where work arrives across every flow.,"Analyst: I want one inbox for everything assigned to me across flows, so",Analyst hours per case; Time to approve Platform,New — proposed
84,Platform Platform,Services,Global Search & Evidence Retrieval,"Merchants, cases, documents and decisions, entitlement-aware.","1. Search merchants, cases, documents and decisions from one box.","Investigator: I want one search across merchants, cases, documents and",Analyst hours per case; First contact resolution Platform,New — proposed
85,Platform Platform,Services,Sandbox & Safe Testing,Realistic non-production data for testing and training.,"1. Provide a non-production environment with realistic, de-identified data.","Model developer: I want a realistic non-production environment, so I can test",False positive rate Platform,New — proposed
86,Platform Platform,Services,Bulk Actions & Queue Management,"Batch working, assignment, ageing and SLAs.",1. Support batch selection and bulk action with confirmation and reversal.,"Team lead: I want to act on a queue in bulk with ageing and SLA visible, so",Analyst hours per case; Time to approve Platform,New — proposed
87,Platform Platform,Services,"Configuration, Flags & Residency","Change without release, staged rollout, residency.","1. Allow thresholds, templates and rules to change without a release.","Platform owner: I want configuration, flags and residency changed without a",Platform,New — proposed
88,Partner Oversight Partner,Oversight,Partner Policy & Procedure Assessment,"Their control documentation assessed against our standard, rated per control.",1. Maintain the control standard and required document set by partner type and jurisdiction.,"Partner: I want one structured request with clear standards, so I know what",Regrettable loss rate Partner & Intermediary,New — proposed
89,Partner Oversight Partner,Oversight,Partner Control Testing & Sample Review,Re-underwrites a sample of their sellers; measures disagreement.,"1. Draw a stratified sample by risk, volume and recency.","Partner risk owner: I want to know whether their controls actually work, not",Regrettable loss rate; False positive rate Partner & Intermediary,New — proposed
90,Partner Oversight Partner,Oversight,Oversight Contract & Data Schedule,"Feed schedule, cadences, owners and consequences, generated.",1. Generate a data schedule from partner type and risk tier.,Operations lead: I want late feeds and missed remediation dates chased,Analyst hours per case Partner & Intermediary,New — proposed
91,Knowledge Base,Knowledge,Partner Data Feed Ingestion,"Structured feeds in their schema, mapped to the canonical seller model.","1. Accept API, SFTP, event stream and file drop delivery.","Partner: I want to send data in the form my systems already produce, so",Analyst hours per case Partner & Intermediary,New — proposed
92,Knowledge Base,Knowledge,Unstructured & JSON Control Output Ingestion,"Raw JSON, case notes, PDFs and email, as their systems return them.","1. Ingest raw JSON from partner monitoring, screening and case systems as returned.","Partner: I want to send data in the form my systems already produce, so",Analyst hours per case Partner & Intermediary,New — proposed
93,Partner Oversight Partner,Oversight,Sub-Merchant Roster Reconciliation,Their reported roster against our settlement; every break aged.,1. Reconcile the partner-reported roster against our settlement records.,Portfolio manager: I want to see when a partner’s book drifts into verticals,Regrettable loss rate Partner & Intermediary,New — proposed
94,Partner Oversight Partner,Oversight,Partner Control Effectiveness Scoring,A normalised score that moves over time and benchmarks to peers.,"1. Score control effectiveness on a defined, repeatable model.","Head of oversight: I want a control score that moves, so deterioration is",Regrettable loss rate; False positive rate Partner & Intermediary,New — proposed
95,Partner Oversight Partner,Oversight,Partner Oversight Reporting & Attestation,"Per-partner and portfolio packs, lineage on every figure, attestation.",1. Produce a per-partner oversight pack on a defined cadence.,Compliance: I want an oversight pack where every figure traces to the file it,Analyst hours per case Partner & Intermediary,New — proposed
96,Partner Oversight Partner,Oversight,Partner Remediation & Enforcement,Remediation plans with dates; enforcement ladder up to offboarding.,"1. Generate a remediation plan with actions, owners, dates and required evidence.","Partner: I want to contest a finding with evidence, so an assessment is a",Regrettable loss rate Partner & Intermediary,New — proposed
97,Risk Surfacing,Post-Boarding,Sub-Merchant Risk Surfacing,Our detection rules on their seller data. Names individual sellers.,1. Apply our own detection rules to seller data received from partners.,"Risk analyst: I want to name the seller I am concerned about, so a partner",Regrettable loss rate; False positive rate Partner & Intermediary,New — proposed
98,Partner Monetisation,Future,White-Label Seller Screening,"They submit an applicant; we return classification, risk position and the",Not yet specified — future product. Requirements to be defined if pursued.,"Commercial: I want to sell the capability we built for oversight, so risk",Time to approve; Auto-approval rate; Partner & Intermediary,New — future product
99,Partner Monetisation,Future,Merchant Risk Scoring API,"A score with component breakdown and reasons, inside their own onboarding",Not yet specified — future product. Requirements to be defined if pursued.,"Partner: I want to call your scoring API for my own sellers, so I get your risk",Time to approve; Regrettable loss rate Partner & Intermediary,New — future product
100,Partner Monetisation,Future,Embedded Partner Risk Console,"The interface our analysts use, entitlement-scoped to their own book.",Not yet specified — future product. Requirements to be defined if pursued.,"Partner risk manager: I want your console embedded in my workflow, so my",Customer satisfaction; Analyst hours per case Partner & Intermediary,New — future product
101,Partner Monetisation,Future,Compliance Rule Packs,"Requirement rules, question sets and document standards by vertical and",Not yet specified — future product. Requirements to be defined if pursued.,"Partner compliance officer: I want your rule packs for my vertical and region,",First contact resolution; Time to approve Partner & Intermediary,New — future product
102,Partner Monetisation,Future,Peer Benchmarking & Intelligence,"How their loss, dispute and decline rates compare to their peer group.",Not yet specified — future product. Requirements to be defined if pursued.,"Partner executive: I want to see how my portfolio compares to peers, so I",Customer satisfaction Partner & Intermediary,New — future product
103,Partner Monetisation,Future,Seller Onboarding as a Service,"Kit generation, dynamic forms and the guidance loop, delivered under their",Not yet specified — future product. Requirements to be defined if pursued.,"Partner: I want you to onboard my sellers for me, so I stop carrying the cost",Auto-approval rate; Time to approve; Partner & Intermediary,New — future product
104,Partner Monetisation,Future,Negative Entity Consortium,"Shared identifiers, known-bad entities and fraud breadcrumbs. Worth more",Not yet specified — future product. Requirements to be defined if pursued.,"Consortium member: I want shared visibility of known bad entities, so a seller",Regrettable loss rate; False positive rate Partner & Intermediary,New — future product
105,Partner Monetisation,Future,Exposure & Reserve Optimisation,"Our exposure engine applied to funds they hold, with release",Not yet specified — future product. Requirements to be defined if pursued.,Partner CFO: I want exposure and reserve optimised against real,Customer satisfaction; Regrettable loss rate Partner & Intermediary,New — future product
106,Transaction Monitoring Stage,01,Transaction Data Ingestion & Normalisation,"One canonical transaction model across platforms, regions and event types.","1. Ingest auth, capture, settlement, refund, chargeback, dispute and payout events.","Investigator: I want a signal attributable to an entity, because a signal I cannot",Transaction Monitoring,New — proposed
107,Transaction Monitoring Stage,02,Pre-Vendor Scoring & Decision Tiering,Our own models decide first; an external vendor is called only when the answer,1. Evaluate every transaction against deterministic rules before any model call.,Finance & cost owner: I want to stop paying for scores that do not change a,False positive rate; Regrettable loss rate Transaction Monitoring,New — proposed
108,Transaction Monitoring Stage,03,Vendor Score Orchestration & Cost Attribution,"Selective invocation, caching, cost per call and measured lift per vendor.",1. Provide one governed path to every external scoring vendor.,"Vendor manager: I want lift measured per vendor per segment, so a renewal",Transaction Monitoring,New — proposed
109,Transaction Monitoring Stage,02,Multi-Source Detection Models,"Features from transactions, knowledge base, credit, identity and network",1. Build features from transaction history and the aggregate measures.,"Model owner: I want features drawn from everything we already hold, so our",Regrettable loss rate; False positive rate Transaction Monitoring,New — proposed
110,Transaction Monitoring Stage,04,Peer Cohort Behavioural Comparison,"Each merchant judged against comparable merchants, not a fixed threshold.","1. Define cohorts by vertical, segment, business model, size band, region and tenure.","Portfolio manager: I want a merchant compared to its peers, because a fixed",False positive rate; Regrettable loss rate Transaction Monitoring,New — proposed
111,Transaction Monitoring Stage,05,Real-Time Auth Blocking & Controls,"Block or decline at authorisation by pattern, time-boxed, with instant rollback.",1. Block or decline at authorisation on defined patterns.,"Compliance & audit: I want every block traceable to a rule and a version, with",Regrettable loss rate; False positive rate; Transaction Monitoring,New — proposed
112,Transaction Monitoring Stage,05,Funds Hold & Settlement Intervention,"Hold settlement in full or part, sized to the exposure it covers.",1. Hold settlement or payout on defined triggers.,"Merchant: I want to be told what changed, why, and what releases it — not",Regrettable loss rate; Customer satisfaction Transaction Monitoring,New — proposed
113,Transaction Monitoring Stage,05,Dynamic Velocity & Exposure Caps,Caps that tighten on signal and loosen on sustained good performance.,"1. Set caps on volume, count, ticket and exposure per merchant.",Merchant performing well: I want my caps loosened automatically when I,Regrettable loss rate; False positive rate; Transaction Monitoring,New — proposed
114,Transaction Monitoring Stage,05,Alert Triage & Severity Routing,Severity decides the permitted automated action and the human requirement.,1. Assign a severity to every signal from a defined matrix.,"Risk operations: I want the platform to act on the clear cases on its own, so",Analyst hours per case; False positive rate Transaction Monitoring,New — proposed
115,Transaction Monitoring Stage,05,Transaction Evidence Pack & Escalation,"The transactions, measures and cohort comparison behind a signal, in one pack.","1. Assemble the transactions, measures and cohort comparison behind a signal.","Investigator: I want the evidence behind a signal assembled into one pack,",Analyst hours per case; First contact resolution Transaction Monitoring,New — proposed
116,Transaction Monitoring Stage,06,Outcome Labelling & Model Feedback,"Confirmed, false positive or explained — every outcome trains the next","1. Label every actioned signal: confirmed, false positive, or explained.","Analyst: I want confirmed outcomes to change the model, so I stop seeing the",False positive rate; Regrettable loss rate Transaction Monitoring,New — proposed
117,Transaction Monitoring Stage,06,Rule Simulation & Backtesting,Test against history and shadow live traffic before anything acts.,1. Test any new rule or threshold against historical transactions before enabling.,Model owner: I want to test a rule against history and shadow live traffic,False positive rate; Regrettable loss rate Transaction Monitoring,New — proposed
118,Transaction Monitoring Stage,03,Vendor Spend & Model Value Reporting,"Calls made, spend avoided, lift per vendor and loss avoided by our own models.","1. Report vendor calls made, avoided and their cost, by merchant and segment.","Finance & cost owner: I want calls made, spend avoided and lift per vendor",Transaction Monitoring,New — proposed
